,NAME,count,text
26,Missouri,38,"The Ozark cave fish has no need for eyes because it lives in dark caves. Instead, it uses other senses to detect motion and locate food such as plankton, crayfish, salamander larvae, and bat guano (poop!). Mining has contaminated the waters that the cavefish depend on, polluting their habitat and food sources. Defenders has stood up to the Trump administration's attempts to weaken national water quality standards."
27,Montana,15,"Pallid sturgeon ancestors date back 78 million years! But dam building in the 1900s disrupted the rivers’ natural flow, temperature, and oxygen levels, which destroyed and cut off access to much of the sturgeon’s spawning grounds. Defenders fights for aquatic connectivity in the Yellowstone River and throughout the sturgeon's range."
28,Nebraska,15,"The American burying beetle is a large carrion beetle, storing carcasses underground for a future snack and returning the critical nutrients back to the soil. The beetle is negatively impacted by increasing pesticide use. Defenders works to strengthen protections for endangered and threatened species against potentially harmful pesticides."
29,Nevada,40,"To beat the desert heat, desert tortoises dig underground burrows. Tunnels can be up to 32 feet long and can be shared by as many as 25 tortoises! Defenders helped to get the desert tortoise federally listed as a threatened species in 1990 and continues to oppose threats such as excessive and improper livestock grazing, unmanaged off-road vehicle use, and poorly sited renewable energy development."
30,New Hampshire,12,"Jesup’s milkvetch clings by its small roots to crevices in the steep rock cliffs along the Connecticut River. It withstands summer heat and drought, winter ice, and spring flooding. Its population has doubled since listing in 1987, but it is still harmed by competing invasive species. Defenders supports invasive species removal programs and advocates for policies that require screening and inspection before plants and animals enter the country."
31,New Jersey,16,"The northeastern beach tiger beetle is a tiny, sand-colored beetle that lives on sandy beaches throughout the northeast and mid-Atlantic. The major threat they face is habitat loss due to development, population growth and increased beach use. Defenders works to preserve beaches, promote responsible use of beach habitat, and organize beach clean-ups."
32,New Mexico,53,"Mexican gray wolves were wiped out by the mid-1970s. In 1998, the U.S. Fish and Wildlife Service, led by Jamie Rappaport Clark (now president of Defenders of Wildlife), released 11 Mexican gray wolves back into the wild. Defenders supports additional releases of wolves and collaborations between American and Mexican biologists."
33,New York,24,"Did you know that nearly half of the recorded animal extinctions in the past 500 years are mollusks like snails, mussels, and octopuses? Researchers estimate there are only 150 individuals left of the Chittenango amber ovate snail. Defenders supports captive breeding programs, like the one for the amber snail, that help to restore wild populations."
34,North Carolina,66,"Uniquely ""All-American,"" the red wolf's entire historical range was within what is now the United States. It has lost a greater percentage of its historical territory than any other large carnivore. Defenders leads grassroots outreach efforts in North Carolina to increase awareness of the critical situation for wild red wolves."
35,North Dakota,9,"Standing nearly five feet tall, whooping cranes are one of America's largest wading birds, but also one of its most endangered animals with just three wild crane populations left. Habitat management involves water control, reducing human disturbance, and maintaining agricultural fields as food sources. They often spend winters at the Aransas National Wildlife Refuge in Texas – one of the 563 refuges that Defenders of Wildlife fights to protect."
36,Ohio,28,"Red-bellied water snakes spend more time on land than most other species of water snakes, which makes them particularly vulnerable to habitat fragmentation by roads and other developments. Defenders is working to protect and enhance wetland habitat for water snakes and other wildlife."
37,Oklahoma,20,Leopard darters typically live less than two years and spawn only once in their lifetime. The greatest threat to the survival of the species is the loss of habitat due to the construction of dams and reservoirs. Defenders fights for aquatic habitat quality and connectivity throughout the darter's range.
38,Oregon,57,"Native Americans in the area historically depended on suckers as an important source of protein in the spring, when other sources of food became depleted. However, poor water quality has reduced the availability of suitable Lost River sucker habitat and has resulted in major fish mortality. Defenders has stood up against the Trump administration's attempts to weaken national water quality standards."
39,Pennsylvania,17,"Because it is not showy and not easily identified, little is known about the life history of the northeastern bulrush. Habitat degradation and destruction from human development and ATV usage is the primary threat to the species. Defenders works to create partnerships among the U.S. Fish and Wildlife Service, state agencies, nongovernmental organizations and private landowners to help protect species like the northeastern bulrush."
40,Rhode Island,9,"True to its name, the piping plover’s call sounds like a pair notes blown on a very small flute: peep-oh, peep-oh. Many of the coastal beaches traditionally used by piping plovers for nesting have been lost to commercial, residential, and recreational developments. Defenders has fought to make sure that critical habitat is designated and protected for the plover."
41,South Carolina,37,"The loggerhead sea turtle is the largest of all hard-shelled turtle species, weighing as much as 1,000 pounds. Beaches in the southeastern United States host 90% of sea turtle nesting in the continental U.S. and the largest rookery of loggerhead nesting in the world. Defenders works to preserve nesting beaches and foraging areas, promote responsible lighting along nesting beaches, and organize beach clean-ups."
42,South Dakota,15,"The Powesheik skipperling may have been extirpated from much of its range just within the last 10 years. Pollinators like this are critical to the persistence of the prairie. Defenders works to ensure that Congress continues to support strong programs like the Farm Bill that maintains conservation funding, programs, and provisions that benefit both landowners and wildlife — including pollinators."
43,Tennessee,101,"The spotfin chub is endemic to the Tennessee River basin and feeds on water bugs along the bottom of the river. Major disturbances including dams, sedimentation, invasive species, and wide-ranging fish kills have contributed to population declines. Defenders supports efforts like the capture and relocation program that has helped to redistribute chubs across their former ranges."
44,Texas,102,"Ocelot kittens are born with gray coats and blue eyes that turn golden brown when they’re about three months old. The fur and pet trades decimated the population, and in the United States fewer than 60 ocelots remain. Defenders is working with partners to ensure habitat connectivity for isolated U.S. and Mexican populations."
45,Utah,42,"Scientists can identify individual wolverines by the unique color patterns on their face, neck, and chest. As climate change continues, wolverines could lose one-third of their U.S. range by 2050. Defenders and our colleagues have been fighting for two decades to federally protect wolverines in the lower 48 states. The species is still awaiting a listing decision."
46,Vermont,6,The mainstem of the Connecticut River in New Hampshire and Vermont is thought to have the largest remaining dwarf wedgemussel population. Agricultural run-off and increases in severe river flooding are major threats to the population and its habitat. Defenders is fighting for clean water protections throughout the country and bringing enforcement lawsuits against polluters.
47,Virginia,74,"This species is one of the largest cave-dwelling bats in the eastern U.S. This is not a migratory bat, but if disturbed, the entire colony may try to move to a new site. Bats are critically important to maintaining healthy ecosystems and Defenders is working in support of policies and management that address major disturbances."
48,Washington,48,"Southern resident orcas have vocalizations that are very different from any other orca population in the Pacific Northwest. Unfortunately, there are only about 73 individuals left. Populations of chinook salmon, their primary prey, have declined and resulted in orca starvation. Defenders advocates for salmon habitat restoration and promotes reduction in marine pollution.  "
49,West Virginia,29,Woodland salamanders like the Cheat Mountain salamander do not have lungs and must breathe through their skin. This species is threatened by habitat loss and fragmentation due to logging and development in the forests of the West Virginia highlands. Defenders plays a leading role in fighting to protect habitat for endangered species throughout the country. 
50,Wisconsin,25,"As caterpillars, the Karner blue butterfly only eats the leaves of the wild lupine. Development and a lack of natural disturbances, such as fire, is causing habitat loss and degradation for this species. A main focus of Defenders is protecting key habitat for endangered species throughout the country.  "
51,Wyoming,15,The black-footed ferret is the only species of ferret native to North America. Habitat loss and disease are large threats to this species. Defenders has helped reintroduce ferret populations and extend recovery sites across parts of the species’ historic range. 
